"","Mal","Endo.","CAF","T.CD8","NK","Macrophage","pDC","skinDC","T.CD4","B.cell"
"mix13796",0.160130718954248,0.0228758169934641,0.0196078431372549,0.321895424836601,0.0065359477124183,0.0735294117647059,0.00490196078431373,0.0130718954248366,0.155228758169935,0.222222222222222
"mix3207",0.51310861423221,0.00842696629213483,0.00280898876404494,0.27434456928839,0.00374531835205993,0.0243445692883895,0,0.00187265917602996,0.0730337078651685,0.098314606741573
"mix9562",0.534804753820034,0.0067911714770798,0.0152801358234295,0.152801358234295,0.0152801358234295,0.032258064516129,0.00848896434634975,0.0152801358234295,0.151103565365025,0.067911714770798
"mix625",0.601694915254237,0.00282485875706215,0.00282485875706215,0.141242937853107,0.019774011299435,0.0282485875706215,0.00282485875706215,0.0112994350282486,0.104519774011299,0.0847457627118644
"mix14124",0.175409836065574,0.0245901639344262,0.0147540983606557,0.314754098360656,0.0245901639344262,0.0229508196721311,0.00819672131147541,0.0114754098360656,0.198360655737705,0.204918032786885
"mix17226",0.241917502787068,0.00222965440356745,0.0356744704570792,0.441471571906354,0.0100334448160535,0.119286510590858,0.00111482720178372,0.012263099219621,0.0958751393534002,0.040133779264214
"mix2094",0.208273894436519,0.00285306704707561,0.0399429386590585,0.549215406562054,0.00855920114122682,0.0156918687589158,0,0.00570613409415121,0.112696148359486,0.0570613409415121
"mix8502",0.23728813559322,0.0338983050847458,0.0338983050847458,0.195856873822976,0.0188323917137476,0.0150659133709981,0.00564971751412429,0.00564971751412429,0.193973634651601,0.259887005649718
"mix7650",0.436853002070393,0,0,0.194616977225673,0.0020703933747412,0.198757763975155,0.0020703933747412,0.020703933747412,0.0910973084886128,0.0538302277432712
"mix3482",0.557507987220447,0.0103833865814696,0.0119808306709265,0.23961661341853,0.0023961661341853,0.0271565495207668,0,0,0.0623003194888179,0.0886581469648562
"mix3074",0.464800678541137,0.00763358778625954,0.00254452926208651,0.295165394402036,0.00424088210347752,0.00508905852417303,0,0.00424088210347752,0.10008481764207,0.116200169635284
"mix3453",0.53728813559322,0.0110169491525424,0.0177966101694915,0.235593220338983,0.00677966101694915,0.0220338983050847,0,0.000847457627118644,0.0644067796610169,0.104237288135593
"mix13466",0.250366032210835,0.0234260614934114,0.0146412884333821,0.112737920937042,0.0117130307467057,0.149341142020498,0.00732064421669107,0.0219619326500732,0.161054172767204,0.247437774524158
"mix10187",0.262016965127238,0.0150801131008483,0.00942507068803016,0.342130065975495,0.00377002827521206,0.0424128180961357,0.00659754948162111,0.00848256361922714,0.11875589066918,0.191328934967012
"mix1158",0.250950570342205,0.026615969581749,0.026615969581749,0.228136882129278,0.0114068441064639,0.0171102661596958,0.00570342205323194,0.0190114068441065,0.161596958174905,0.252851711026616
"mix7449",0.338329764453961,0,0,0.447537473233405,0.0171306209850107,0.0364025695931477,0.00214132762312634,0.012847965738758,0.134903640256959,0.0107066381156317
"mix13394",0.182389937106918,0.0251572327044025,0.0235849056603774,0.213836477987421,0.0172955974842767,0.0330188679245283,0.00786163522012579,0.0157232704402516,0.19496855345912,0.286163522012579
"mix8418",0.340136054421769,0.0244897959183673,0.036734693877551,0.22312925170068,0.00680272108843537,0.0149659863945578,0.0054421768707483,0.00408163265306122,0.138775510204082,0.205442176870748
"mix13228",0.0293159609120521,0.0228013029315961,0.0146579804560261,0.273615635179153,0.0325732899022801,0.0162866449511401,0.00651465798045603,0.011400651465798,0.224755700325733,0.368078175895765
"mix16752",0.167641325536062,0.00194931773879142,0.0263157894736842,0.640350877192982,0.0107212475633528,0.0321637426900585,0.00292397660818713,0.00974658869395711,0.106237816764133,0.00194931773879142
"mix5867",0.265275707898659,0.00596125186289121,0.0029806259314456,0.327868852459016,0.0163934426229508,0.0566318926974665,0.00596125186289121,0.0163934426229508,0.125186289120715,0.177347242921013
"mix18223",0.265432098765432,0,0,0.526234567901235,0.0185185185185185,0.0447530864197531,0.00462962962962963,0.0108024691358025,0.123456790123457,0.00617283950617284
"mix8520",0.157614483493078,0.00851970181043664,0.0394036208732694,0.453674121405751,0.0255591054313099,0.0276890308839191,0.00106496272630458,0.0149094781682641,0.123535676251331,0.148029818956337
"mix17568",0.140221402214022,0,0,0.485239852398524,0.011070110701107,0.0535055350553506,0.0018450184501845,0.014760147601476,0.169741697416974,0.123616236162362
"mix7508",0.406976744186047,0.0664451827242525,0.00498338870431894,0.174418604651163,0.0116279069767442,0.0664451827242525,0.00830564784053156,0.0215946843853821,0.166112956810631,0.0730897009966777
"mix1209",0.37467018469657,0.00527704485488127,0.0158311345646438,0.226912928759894,0.029023746701847,0.079155672823219,0.00263852242744063,0.0395778364116095,0.129287598944591,0.0976253298153034
"mix15",0.597938144329897,0.0077319587628866,0.0111683848797251,0.214776632302405,0.00257731958762887,0.00515463917525773,0,0.000859106529209622,0.0567010309278351,0.103092783505155
"mix18171",0.041036717062635,0.0885529157667387,0.00647948164146868,0.336933045356371,0.0345572354211663,0.0302375809935205,0.00431965442764579,0.0172786177105832,0.27645788336933,0.16414686825054
"mix6753",0.361271676300578,0.00289017341040462,0.00144508670520231,0.397398843930636,0.0130057803468208,0.0606936416184971,0.00433526011560694,0.0187861271676301,0.0968208092485549,0.0433526011560694
"mix15474",0.306184012066365,0.00301659125188537,0.0135746606334842,0.168929110105581,0.0165912518853695,0.0271493212669683,0.00301659125188537,0.0105580693815988,0.113122171945701,0.337858220211161
"mix18650",0.288508557457213,0,0.00733496332518337,0.354523227383863,0.0244498777506112,0.0831295843520782,0.00244498777506112,0.00488997555012225,0.161369193154034,0.0733496332518337
"mix6500",0.284839203675345,0.00306278713629403,0.00153139356814701,0.283307810107198,0.0245022970903522,0.0382848392036753,0.00306278713629403,0.0183767228177642,0.134762633996937,0.208269525267994
"mix10178",0.234466588511137,0.018757327080891,0.0175849941383353,0.185228604923798,0.00468933177022274,0.0234466588511137,0.00586166471277843,0.00586166471277843,0.182883939038687,0.321219226260258
"mix9877",0.32650739476678,0.00227531285551763,0.00568828213879408,0.200227531285552,0.0147895335608646,0.0455062571103527,0.00796359499431172,0.0204778156996587,0.138794084186576,0.237770193401593
"mix13644",0.0219298245614035,0.0614035087719298,0.0427631578947368,0.479166666666667,0.0197368421052632,0.0131578947368421,0.00328947368421053,0.0109649122807018,0.18530701754386,0.162280701754386
"mix5563",0.630872483221476,0.00894854586129754,0.0402684563758389,0.105145413870246,0.0111856823266219,0.0111856823266219,0,0.0134228187919463,0.0894854586129754,0.0894854586129754
"mix9668",0.456721915285451,0.00920810313075507,0.0165745856353591,0.16390423572744,0.0165745856353591,0.173112338858195,0.00368324125230203,0.0165745856353591,0.0920810313075506,0.0515653775322284
"mix19979",0.238839285714286,0.00223214285714286,0,0.412946428571429,0.0267857142857143,0.111607142857143,0.00446428571428571,0.0178571428571429,0.118303571428571,0.0669642857142857
"mix14736",0.205765407554672,0.00198807157057654,0.0268389662027833,0.420477137176938,0.0149105367793241,0.025844930417495,0.00497017892644135,0.0149105367793241,0.144135188866799,0.140159045725646
"mix7894",0.435483870967742,0.00860215053763441,0.0118279569892473,0.19247311827957,0.010752688172043,0.0537634408602151,0.00860215053763441,0.0182795698924731,0.117204301075269,0.143010752688172
"mix2019",0.33363802559415,0.00182815356489945,0.0255941499085923,0.460694698354662,0.00731261425959781,0.0374771480804388,0.00548446069469835,0.0146252285191956,0.10054844606947,0.0127970749542962
"mix6751",0.26,0.005,0.0025,0.1775,0.0225,0.0475,0.0025,0.0225,0.2375,0.2225
"mix18734",0.1947261663286,0,0,0.436105476673428,0.0202839756592292,0.0324543610547667,0.00202839756592292,0.0121703853955375,0.217038539553753,0.0851926977687627
"mix12394",0.303370786516854,0.0642054574638844,0.0112359550561798,0.255216693418941,0.014446227929374,0.0417335473515249,0.00802568218298555,0.0304975922953451,0.176565008025682,0.0947030497592295
"mix3130",0.548435171385991,0.00670640834575261,0.00447093889716841,0.280923994038748,0.000745156482861401,0.0253353204172876,0.000745156482861401,0.0014903129657228,0.0633383010432191,0.0678092399403875
"mix1770",0.341252699784017,0,0.00215982721382289,0.157667386609071,0.019438444924406,0.0215982721382289,0,0.00647948164146868,0.136069114470842,0.315334773218143
"mix5587",0.429447852760736,0.0276073619631902,0.0322085889570552,0.134969325153374,0.00460122699386503,0.049079754601227,0.00460122699386503,0.00460122699386503,0.124233128834356,0.188650306748466
"mix13762",0.0653846153846154,0.0269230769230769,0.0346153846153846,0.288461538461538,0.0153846153846154,0.0576923076923077,0.00576923076923077,0.0115384615384615,0.182692307692308,0.311538461538462
"mix9989",0.328530259365994,0.00288184438040346,0.00720461095100865,0.327089337175793,0.00576368876080692,0.0389048991354467,0.00432276657060519,0.0115273775216138,0.112391930835735,0.161383285302594
"mix4675",0.325945241199478,0.0332464146023468,0.0215123859191656,0.41264667535854,0.00717079530638853,0.0091264667535854,0,0.0045632333767927,0.0984354628422425,0.0873533246414602
"mix13745",0.223965763195435,0.0199714693295292,0.0256776034236805,0.20114122681883,0.00713266761768902,0.131241084165478,0.00570613409415121,0.0156918687589158,0.138373751783167,0.231098430813124
"mix16555",0.395303326810176,0.00391389432485323,0.0176125244618395,0.172211350293542,0.0195694716242661,0.125244618395303,0.00195694716242661,0.0156555772994129,0.113502935420744,0.135029354207436
"mix13707",0.212157330154946,0.0166865315852205,0.0107270560190703,0.414779499404052,0.00595947556615018,0.0369487485101311,0.00595947556615018,0.0119189511323004,0.131108462455304,0.153754469606675
"mix13018",0.359459459459459,0.0027027027027027,0.0486486486486487,0.137837837837838,0.0324324324324324,0.0378378378378378,0.0027027027027027,0.0216216216216216,0.151351351351351,0.205405405405405
"mix11281",0.344789356984479,0.0465631929046563,0.0144124168514412,0.198447893569845,0.00776053215077605,0.0454545454545455,0.00776053215077605,0.0144124168514412,0.14079822616408,0.17960088691796
"mix11582",0.346456692913386,0.0031496062992126,0.0094488188976378,0.228346456692913,0.0062992125984252,0.062992125984252,0.0031496062992126,0.0047244094488189,0.108661417322835,0.226771653543307
"mix16671",0.237659963436929,0.0036563071297989,0.0246800731261426,0.464351005484461,0.00731261425959781,0.0904936014625228,0.00274223034734918,0.0155393053016453,0.0822669104204753,0.0712979890310786
"mix16114",0.0632911392405063,0.0886075949367089,0.00843881856540084,0.234177215189873,0.0421940928270042,0.0443037974683544,0.00210970464135021,0.0253164556962025,0.282700421940928,0.208860759493671
"mix10213",0.285848172446111,0.0149953139643861,0.00937207122774133,0.253045923149016,0.00374882849109653,0.115276476101218,0.00656044985941893,0.0131208997188379,0.106841611996251,0.191190253045923
"mix14071",0.319338422391858,0.0178117048346056,0.0114503816793893,0.203562340966921,0.00127226463104326,0.114503816793893,0.00636132315521628,0.0114503816793893,0.137404580152672,0.176844783715013
"mix18342",0.424193548387097,0,0.00806451612903226,0.233870967741935,0.00483870967741936,0.0354838709677419,0.00967741935483871,0.0145161290322581,0.162903225806452,0.106451612903226
"mix1988",0.167560321715818,0.00402144772117962,0.0375335120643432,0.601876675603217,0.0214477211796247,0.0201072386058981,0.00268096514745308,0.0107238605898123,0.120643431635389,0.0134048257372654
"mix6367",0.136212624584718,0.0897009966777409,0.0199335548172757,0.249169435215947,0.0132890365448505,0.0166112956810631,0.00664451827242525,0.0116279069767442,0.210963455149502,0.245847176079734
"mix17633",0.20507399577167,0.00211416490486258,0.00634249471458774,0.346723044397463,0.0232558139534884,0.0824524312896406,0.00211416490486258,0.0147991543340381,0.18816067653277,0.128964059196617
"mix16097",0.109181141439206,0.00496277915632754,0.0248138957816377,0.220843672456576,0.0446650124069479,0.0521091811414392,0.00248138957816377,0.0223325062034739,0.267990074441687,0.250620347394541
"mix17165",0.0983606557377049,0.0459016393442623,0.0327868852459016,0.585792349726776,0.0207650273224044,0.033879781420765,0.00109289617486339,0.0131147540983607,0.133333333333333,0.0349726775956284
"mix18295",0.320148331273177,0.0494437577255871,0.00370828182941904,0.328800988875155,0.0111248454882571,0.0531520395550062,0.00865265760197775,0.0197775030902349,0.149567367119901,0.0556242274412855
"mix18625",0.0783132530120482,0,0,0.506024096385542,0.0120481927710843,0.0602409638554217,0.00301204819277108,0.0120481927710843,0.19578313253012,0.132530120481928
"mix13653",0.138461538461538,0.0175824175824176,0.0450549450549451,0.428571428571429,0.00769230769230769,0.00989010989010989,0.0032967032967033,0.00659340659340659,0.153846153846154,0.189010989010989
"mix10156",0.217672413793103,0.0172413793103448,0.0107758620689655,0.338362068965517,0.00538793103448276,0.0290948275862069,0.00754310344827586,0.00646551724137931,0.146551724137931,0.220905172413793
"mix16273",0.474226804123711,0.00458190148911798,0.00458190148911798,0.164948453608247,0.00801832760595647,0.0767468499427262,0.00916380297823597,0.0217640320733104,0.108820160366552,0.127147766323024
"mix19037",0.0343137254901961,0.0980392156862745,0.00735294117647059,0.279411764705882,0.0318627450980392,0.0220588235294118,0,0.0122549019607843,0.303921568627451,0.21078431372549
"mix17611",0.0397489539748954,0.0857740585774059,0.00627615062761506,0.351464435146443,0.0313807531380753,0.0313807531380753,0.00209205020920502,0.0209205020920502,0.248953974895398,0.182008368200837
"mix40",0.601813110181311,0.0104602510460251,0.00906555090655509,0.208507670850767,0.00209205020920502,0.00697350069735007,0.00139470013947001,0.00278940027894003,0.0488145048814505,0.108089260808926
"mix7581",0.427255985267035,0,0.00920810313075507,0.318600368324125,0.00920810313075507,0.0773480662983425,0.00184162062615101,0.0110497237569061,0.0810313075506446,0.0644567219152855
"mix4076",0.407484407484408,0.0159390159390159,0.00831600831600832,0.263340263340263,0.00277200277200277,0.00485100485100485,0.00277200277200277,0.00277200277200277,0.125433125433125,0.166320166320166
"mix4529",0.491749174917492,0.00907590759075908,0.00742574257425743,0.236798679867987,0.0066006600660066,0.0173267326732673,0.000825082508250825,0.00577557755775578,0.0858085808580858,0.138613861386139
"mix8919",0.255721393034826,0.00796019900497512,0.0358208955223881,0.440796019900497,0.00995024875621891,0.0139303482587065,0.00199004975124378,0.00895522388059702,0.121393034825871,0.103482587064677
"mix18561",0.293165467625899,0.00359712230215827,0,0.352517985611511,0.00719424460431655,0.0431654676258993,0.00539568345323741,0.0143884892086331,0.116906474820144,0.163669064748201
"mix2617",0.604361370716511,0.00155763239875389,0.00934579439252336,0.102803738317757,0.0109034267912773,0.0342679127725857,0.00934579439252336,0.0171339563862928,0.124610591900312,0.0856697819314642
"mix7510",0.405186385737439,0.06645056726094,0.00486223662884927,0.171799027552674,0.0178282009724473,0.0437601296596434,0.00972447325769854,0.0243111831442464,0.175040518638574,0.0810372771474878
"mix2288",0.447405329593268,0,0.00140252454417952,0.304347826086957,0.00701262272089762,0.148667601683029,0.00420757363253857,0.0154277699859748,0.0659186535764376,0.00561009817671809
"mix13040",0.227272727272727,0.0034965034965035,0.0454545454545455,0.181818181818182,0.041958041958042,0.0559440559440559,0.0034965034965035,0.027972027972028,0.188811188811189,0.223776223776224
"mix10947",0.155102040816327,0.0571428571428571,0.0054421768707483,0.317006802721088,0.0136054421768707,0.0340136054421769,0.00408163265306122,0.00952380952380952,0.191836734693878,0.212244897959184
"mix1723",0.483379501385042,0,0.00831024930747922,0.0817174515235457,0.0124653739612188,0.119113573407202,0.00138504155124654,0.0124653739612188,0.0844875346260388,0.196675900277008
"mix8588",0.249090909090909,0.00909090909090909,0.0163636363636364,0.281818181818182,0.0381818181818182,0.0272727272727273,0.00363636363636364,0.0127272727272727,0.147272727272727,0.214545454545455
"mix6953",0.226190476190476,0.00357142857142857,0.0321428571428571,0.480952380952381,0.0154761904761905,0.113095238095238,0.00238095238095238,0.0166666666666667,0.1,0.00952380952380952
"mix17724",0.323825503355705,0.00167785234899329,0.00503355704697987,0.422818791946309,0.0151006711409396,0.0721476510067114,0.00335570469798658,0.011744966442953,0.104026845637584,0.0402684563758389
"mix1246",0.364161849710983,0,0.0144508670520231,0.34393063583815,0.023121387283237,0.0780346820809249,0,0.0260115606936416,0.0982658959537572,0.0520231213872832
"mix1698",0.485049833887043,0.00221483942414175,0.00110741971207087,0.137320044296788,0.00996677740863787,0.0299003322259136,0.00775193798449612,0.0166112956810631,0.106312292358804,0.203765227021041
"mix20124",0.337868480725624,0,0,0.192743764172336,0.0158730158730159,0.201814058956916,0.00226757369614512,0.0158730158730159,0.138321995464853,0.0952380952380952
"mix19189",0.396805896805897,0,0.0110565110565111,0.320638820638821,0.00491400491400491,0.136363636363636,0.00368550368550369,0.0135135135135135,0.0724815724815725,0.0405405405405405
"mix18427",0.290657439446367,0,0.00519031141868512,0.451557093425606,0.0207612456747405,0.0916955017301038,0.00346020761245675,0.0103806228373702,0.112456747404844,0.013840830449827
"mix13951",0.248579545454545,0.0198863636363636,0.0127840909090909,0.153409090909091,0.00426136363636364,0.0298295454545455,0.0113636363636364,0.015625,0.244318181818182,0.259943181818182
"mix13063",0.30168776371308,0.00421940928270042,0.00843881856540084,0.29957805907173,0.0147679324894515,0.0886075949367089,0.00421940928270042,0.0274261603375527,0.10126582278481,0.149789029535865
"mix7371",0.474117647058824,0,0,0.330588235294118,0.00235294117647059,0.0482352941176471,0.00823529411764706,0.0164705882352941,0.104705882352941,0.0152941176470588
"mix734",0.349635796045786,0.00624349635796046,0.0385015608740895,0.493236212278876,0.00832466181061394,0.0104058272632674,0.00104058272632674,0.00520291363163371,0.0832466181061394,0.00416233090530697
"mix1867",0.547314578005115,0.00255754475703325,0.00255754475703325,0.0946291560102302,0.00895140664961637,0.144501278772379,0.00895140664961637,0.0268542199488491,0.10613810741688,0.0575447570332481
"mix1215",0.173076923076923,0.00274725274725275,0.043956043956044,0.605769230769231,0.0151098901098901,0.0164835164835165,0,0.0164835164835165,0.103021978021978,0.0233516483516484
"mix13184",0.159556313993174,0.0136518771331058,0.0307167235494881,0.37542662116041,0.0136518771331058,0.0221843003412969,0.0068259385665529,0.0145051194539249,0.162969283276451,0.200511945392491
